año,codigo_linea,linea,expediciones_anuales,dias_servicio
2024,A2151,Areeta/Las Arenas - LARRABETZU,26380,913
2024,A2153,BILBAO - Txorierri - LARRABETZU,29371,913
2024,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,42299,913
2024,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),13208,508
2024,A2163,ERANDIO - UPV/EHU,1314,438
2024,A2164,Andramari/Santa Maria Getxo - UPV/EHU (Fadura),2628,438
2024,A2166,Uribe Kosta - UPV/EHU,5694,438
2024,A2312,Zabalburu - UPV/EHU  (Juan de Garay),9652,508
2024,A2314,BILBAO - Erandiogoikoa - UPV/EHU,26466,676
2024,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,12482,553
2024,A2316,SESTAO - UPV/EHU,4380,438
2024,A2318,Termibus - UPV/EHU (Autopista),36661,578
2024,A2321,Santutxu - UPV/EHU (Autopista),16628,872
2024,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,27841,913
2024,A2324,BILBAO - UPV/EHU (Enekuri),5256,438
2024,A2326,BARAKALDO - UPV/EHU,11316,518
2024,A2336,MUSKIZ - UPV/EHU,5100,518
2024,A2610,GALDAKAO - UPV/EHU,12272,518
2024,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4380,438
2024,A3115,BILBAO - SANTURTZI,86750,913
2024,A3122,BILBAO - SESTAO - Errepelega/Repelega,30646,913
2024,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,104454,913
2024,A3135,SESTAO - Cabieces,110433,913
2024,A3136,BILBAO - BARAKALDO - SANTURTZI,74217,913
2024,A3137,BILBAO - BARAKALDO,56717,913
2024,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,52579,913
2024,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),51799,751
2024,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),48046,751
2024,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),28987,913
2024,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,25170,913
2024,A3225,BILBAO - LAUKIZ - MUNGIA,16814,913
2024,A3247,BILBAO - Aireportua/Aeropuerto,108787,913
2024,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),20072,626
2024,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,34851,913
2024,A3323,PORTUGALETE - GALDAMES,15102,913
2024,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,27102,913
2024,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,100147,913
2024,A3333,Gallarta - SANTURTZI,93789,913
2024,A3334,SANTURTZI - BALMASEDA,13362,913
2024,A3335,MUSKIZ - ZIERBENA - SESTAO,33828,913
2024,A3336,BILBAO - MUSKIZ,56351,913
2024,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,50754,913
2024,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,8841,227
2024,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),23275,751
